No,和名,カテゴリー,学名
84,ゴイサギ,絶滅危惧II類(VU),Nycticorax nycticorax nycticorax
85,サカツラガン,絶滅危惧IA類(CR),Anser cygnoid
86,ササゴイ,絶滅危惧II類(VU),Butorides striata amurensis
87,サシバ,絶滅危惧II類(VU),Butastur indicus
88,サンカノゴイ,絶滅危惧IA類(CR),Botaurus stellaris stellaris
89,シジュウカラガン,絶滅危惧II類(VU),Branta hutchinsii leucopareia
90,シマアオジ,絶滅危惧IA類(CR),Emberiza aureola ornata
91,シマクイナ,絶滅危惧IB類(EN),Coturnicops exquisitus
92,シマハヤブサ,絶滅(EX),Falco peregrinus furuitii
93,シマフクロウ,絶滅危惧IB類(EN),Ketupa blakistoni blakistoni
94,シロチドリ,絶滅危惧II類(VU),Charadrius alexandrinus nihonensis
95,シロハラミズナギドリ,絶滅危惧II類(VU),Pterodroma hypoleuca
96,ズグロカモメ,絶滅危惧II類(VU),Saundersilarus saundersi
97,ズグロミゾゴイ,絶滅危惧II類(VU),Gorsachius melanolophus melanolophus
98,スズガモ,準絶滅危惧(NT),Aythya marila nearctica
99,セイタカシギ,情報不足(DD),Himantopus himantopus
100,タイナ(ミユビゲラ),情報不足(DD),Picoides tridactylus inouyei
101,ダイトウカイツブリ,情報不足(DD),Tachybaptus ruficollis kunikyonis
102,ダイトウコノハズク,絶滅危惧IA類(CR),Otus elegans interpositus
103,ダイトウノスリ,絶滅(EX),Buteo japonicus oshiroi
104,ダイトウヒヨドリ,準絶滅危惧(NT),Hypsipetes amaurotis borodinonis
105,ダイトウメジロ,準絶滅危惧(NT),Zosterops japonicus daitoensis
106,ダイトウミソサザイ,絶滅(EX),Troglodytes troglodytes orii
107,ダイトウヤマガラ,絶滅(EX),Sittiparus varius orii
108,ダイトウウグイス,絶滅危惧IB類(EN),Horornis diphone restrictus
109,タカブシギ,絶滅危惧II類(VU),Tringa glareola
110,タマシギ,情報不足(DD),Rostratula benghalensis
111,タネコマドリ,絶滅危惧II類(VU),Larvivora akahige tanensis
112,タンチョウ,準絶滅危惧(NT),Grus japonensis
113,チゴモズ,絶滅危惧IB類(EN),Lanius tigrinus
114,チシマウガラス,絶滅危惧IA類(CR),Urile urile
115,チュウサギ,準絶滅危惧(NT),Ardea intermedia intermedia
116,チュウヒ,絶滅危惧IB類(EN),Circus spilonotus
117,ツクシガモ,情報不足(DD),Tadorna tadorna
118,ツバメチドリ,絶滅危惧II類(VU),Glareola maldivarum
119,ツルシギ,絶滅危惧IB類(EN),Tringa erythropus
120,トキ,絶滅危惧IB類(EN),Nipponia nippon
121,トウネン,準絶滅危惧(NT),Calidris ruficollis
122,トモエガモ,情報不足(DD),Sibirionetta formosa
123,ナベヅル,絶滅危惧II類(VU),Grus monacha
124,ナミエヤマガラ,絶滅危惧IB類(EN),Sittiparus varius namiyei
125,ノジコ,準絶滅危惧(NT),Emberiza sulphurata
126,ノグチゲラ,絶滅危惧IB類(EN),Dendrocopos noguchii
127,ハクガン,絶滅危惧II類(VU),Anser caerulescens caerulescens
128,ハシブトゴイ,絶滅(EX),Nycticorax caledonicus crassirostris
129,ハシブトヒヨドリ,絶滅危惧II類(VU),Hypsipetes amaurotis magnirostris
130,ハチクマ,情報不足(DD),Pernis ptilorhynchus orientalis
131,ハリオアマツバメ,絶滅危惧II類(VU),Hirundapus caudacutus caudacutus
132,ハヤブサ,準絶滅危惧(NT),Falco peregrinus japonensis
133,ハマシギ,絶滅危惧II類(VU),Calidris alpina
134,ハハジマメグロ,絶滅危惧II類(VU),Apalopteron familiare hahasima
135,ハイタカ,準絶滅危惧(NT),Accipiter nisus nisosimilis
136,バン,絶滅危惧II類(VU),Gallinula chloropus chloropus
137,ヒクロウミツバメ(ヒメクロウミツバメ),絶滅危惧II類(VU),Hydrobates monorhis
138,ヒシクイ,準絶滅危惧(NT),Anser fabalis serrirostris
139,ヒメクロウミツバメ,絶滅危惧II類(VU),Hydrobates monorhis
140,ヒメクイナ,情報不足(DD),Zapornia pusilla pusilla
141,ヒメウ,絶滅危惧IB類(EN),Urile pelagicus pelagicus
142,ビンズイ,準絶滅危惧(NT),Anthus hodgsoni hodgsoni
143,ブッポウソウ,絶滅危惧IB類(EN),Eurystomus orientalis cyanocollis
144,ベニアジサシ,絶滅危惧II類(VU),Sterna dougallii bangsi
145,ヘラサギ,絶滅危惧IB類(EN),Platalea leucorodia leucorodia
146,ヘラシギ,絶滅危惧IA類(CR),Calidris pygmaea
147,ホウロクシギ,絶滅危惧II類(VU),Numenius madagascariensis
148,ホシハジロ,準絶滅危惧(NT),Aythya ferina
149,ホントウアカヒゲ,絶滅危惧II類(VU),Larvivora namiyei
150,マキノセンニュウ,絶滅危惧II類(VU),Locustella lanceolata hendersonii
151,マダラウミスズメ,情報不足(DD),Brachyramphus perdix
152,マナヅル,絶滅危惧II類(VU),Antigone vipio
153,マミジロクイナ,絶滅(EX),Poliolimnas cinereus brevipes
154,ミサゴ(ヒメウなど重複確認用),絶滅危惧IB類(EN),Urile pelagicus pelagicus
155,ミゾゴイ,準絶滅危惧(NT),Gorsachius goisagi
156,ミヤコショウビン,絶滅(EX),Todiramphus miyakoensis
157,ミユビゲラ,情報不足(DD),Picoides tridactylus inouyei
158,ムコジマメグロ,絶滅(EX),Apalopteron familiare familiare
159,ムナグロ,絶滅危惧II類(VU),Pluvialis fulva
160,モスケミソサザイ,絶滅危惧IB類(EN),Troglodytes troglodytes mosukei
161,ヤイロチョウ,情報不足(DD),Pitta nympha
162,ヤンバルクイナ,絶滅危惧IA類(CR),Hypotaenidia okinawae
163,ヤマセミ,絶滅危惧II類(VU),Megaceryle lugubris lugubris
164,ヨナグニカラスバト,絶滅危惧IB類(EN),Columba janthina stejnegeri
165,ヨタカ,準絶滅危惧(NT),Caprimulgus jotaka jotaka
166,ヨシゴイ,情報不足(DD),Ixobrychus sinensis sinensis
167,リュウキュウカラスバト,絶滅(EX),Columba jouyi
168,リュウキュウキビタキ,絶滅危惧II類(VU),Ficedula owstoni
169,リュウキュウツミ,情報不足(DD),Accipiter gularis iwasakii
170,リュウキュウオオコノハズク,情報不足(DD),Otus semitorques pryeri
171,ライチョウ,絶滅危惧IB類(EN),Lagopus muta japonica
172,ワシミミズク,絶滅危惧IA類(CR),Bubo bubo borissowi
